assessid,stockid,stockid_ra,mgmt,assessor,country,region,area,area_code,stocklong,species,comm_name1,comm_name2,shp_source,shp_path,zone_col,zones,notes,Id
DFO-PANDALSMAGTSE-1990-2012-WATSON,PANDALSMAGTSE,NA,DFO,DFO,Canada,Canada West Coast,Shrimp Management Area GTSE,SMA-GTSE,Northern shrimp SMA GTSE,Pandalus borealis,NA,NA,Digitized Shrimp Management Area map,canada/west_coast/dfo_west_shrimp_areas_polygons.shp,CODE,GTSE,NA,NA
DFO-PANDALSMAPRD-1987-2011-WATSON,PANDALSMAPRD,NA,DFO,DFO,Canada,Canada West Coast,Shrimp Management Area PRD,SMA-PRD,Northern shrimp SMA PRD,Pandalus borealis,NA,NA,Digitized Shrimp Management Area map,canada/west_coast/dfo_west_shrimp_areas_polygons.shp,CODE,PRD,NA,NA
DFO-PERCHQCI-1939-2013-WATSON,PERCHQCI,NA,DFO,DFO,Canada,Canada West Coast,Queen Charlotte Islands,QCI,Pacific Ocean perch Queen Charlotte Islands,Sebastes alutus,Pacific ocean perch,NA,Digitized from stock assessment,canada/west_coast/dfo_west_pacific_ocean_perch_erase.shp,NAME,"5A, 5B, 5C",NA,NA
DFO-PERCHWCVANI-1939-2013-WATSON,PERCHWCVANI,NA,DFO,DFO,Canada,Canada West Coast,West Coast of Vancouver Island,WCVANI,Pacific Ocean perch West Coast of Vancouver Island,Sebastes alutus,Pacific ocean perch,NA,PSMFC regions (digitized by me),canada/west_coast/psmfc_mgmt_areas_erase.shp,ZONE,"3C, 3D",NA,NA
DFO-PORSHARATL-1960-2014-OSGOOD,PORSHARATL,NA,DFO,DFO,Canada,Canada East Coast,Canadian Atlantic Ocean,ATL,Porbeagle shark Atlantic Ocean,Lamna nasus,Porbeagle shark,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"3L, 3O, 3Pn, 3Ps, 4R, 4S, 4T, 4Vn, 4Vs, 4W, 4X, 5Y, 5Ze",Based on tagging map in assessment,NA
DFO-QROCKPCOASTIN-1918-2010-WATSON,QROCKPCOASTIN,NA,DFO,DFO,Canada,Canada West Coast,Pacific Coast of Canada (Inside),PCOASTIN,Quillback rockfish Pacific Coast of Canada (Inside),Sebastes maliger,Quillback rockfish,NA,Sean MacConnachie (DFO),canada/pfma_macconachie/pfma_areas_inside_outside.shp,UNIT,Inside,NA,NA
DFO-QROCKPCOASTOUT-1918-2010-WATSON,QROCKPCOASTOUT,NA,DFO,DFO,Canada,Canada West Coast,Pacific Coast of Canada (Outside),PCOASTOUT,Quillback rockfish Pacific Coast of Canada (Outside),Sebastes maliger,Quillback rockfish,NA,Sean MacConnachie (DFO),canada/pfma_macconachie/pfma_areas_inside_outside.shp,UNIT,Outside,NA,NA
DFO-QUE-ARCSURF4RST-1993-2014-OSGOOD,ARCSURF4RST,NA,DFO,DFO-QUE,Canada,Canada East Coast,Gulf of St. Lawrence,4RST,Arctic surfclam Quebec and Gulf of St. Lawrence,Mactromeris polynyma,Arctic surfclam,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"4R, 4S, 4T",NA,NA
DFO-QUE-ARCSURFQCW-1993-2011-CHING,ARCSURFQCW,NA,DFO,DFO-QUE,Canada,Canada East Coast,Quebec Coastal Waters,QCW,Arctic surfclam Quebec Coastal Waters,Mactromeris polynyma,Arctic surfclam,NA,Digitized from stock assessment,canada/west_coast/dfo_east_stimpsons_surfclam_areas_erase.shp,NA,already dissolved,NA,NA
DFO-QUE-GURCH4RST-1991-2011-CHING,GURCH4RST,NA,DFO,DFO-QUE,Canada,Canada East Coast,Gulf of St. Lawrence,4RST,Green sea urchin Gulf of St. Lawrence,Strongylocentrotus droebachiensis,Green sea urchin,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"4R, 4S, 4T",NA,NA
DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,HERR4RFA,NA,DFO,DFO-QUE,Canada,Canada East Coast,NAFO division 4R,4R,Herring NAFO 4R fall spawners,Clupea harengus,Herring,Atlantic herring,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,4R,NA,NA
DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,HERR4RSP,NA,DFO,DFO-QUE,Canada,Canada East Coast,NAFO division 4R,4R,Herring NAFO 4R spring spawners,Clupea harengus,Herring,Atlantic herring,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,4R,NA,NA
DFO-QUE-HERR4S-1979-2010-CHING,HERR4S,NA,DFO,DFO-QUE,Canada,Canada East Coast,Quebec North Shore,4S,Herring Quebec North Shore,Clupea harengus,Herring,Atlantic herring,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,4S,NA,NA
DFO-QUE-LOBSTERLFA15-18-1984-2011-CHING,LOBSTERLFA15-18,NA,DFO,DFO-QUE,Canada,Canada East Coast,Quebec North Shore and Anticosti Island (LFA 15-18),LFA15-18,American lobster Quebec North Shore and Anticosti Island (LFA 15-18),Homarus americanus,American lobster,NA,Scott Coffen-Smout (DFO),canada/east_coast_dfo/dfo_east_lobster_fishing_areas.shp,ZONE,"15, 16, 17, 18",NA,NA
DFO-QUE-LOBSTERLFA19-21-1945-2011-CHING,LOBSTERLFA19-21,NA,DFO,DFO-QUE,Canada,Canada East Coast,Gaspe (LFA 19-21),LFA19-21,American lobster Gaspe (LFA 19-21),Homarus americanus,American lobster,NA,Scott Coffen-Smout (DFO),canada/east_coast_dfo/dfo_east_lobster_fishing_areas.shp,ZONE,"19, 20A, 20B",NA,NA
DFO-QUE-LOBSTERLFA22-1945-2011-CHING,LOBSTERLFA22,NA,DFO,DFO-QUE,Canada,Canada East Coast,Magdalen Islands (LFA 22),LFA22,American lobster Magdalen Islands (LFA 22),Homarus americanus,American lobster,NA,Scott Coffen-Smout (DFO),canada/east_coast_dfo/dfo_east_lobster_fishing_areas.shp,ZONE,22,NA,NA
DFO-QUE-REDFISHSPP3Pn4RSTVn-1953-2000-PREFONTAINE,REDFISHSPP3Pn4RSTVn,NA,DFO,DFO-QUE,Canada,Canada East Coast,Gulf of St. Lawrence and Cabot Strait,3Pn4RSTVn,Redfish species NAFO 3Pn4RSTVn,Sebastes spp,Sebastes species,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"3Pn, 4R, 4S, 4T, 4Vn",NA,NA
DFO-QUE-ROCKCRABQCW-1998-2012-OSGOOD,ROCKCRABQCW,NA,DFO,DFO-QUE,Canada,Canada East Coast,Quebec Coastal Waters,QCW,Rock crab Quebec Coastal Waters,Cancer irroratus,Rock crab,NA,Digitized from stock assessment,canada/west_coast/dfo_east_rock_crab_areas_erase.shp,NA,already dissolved,NA,NA
DFO-QUE-SNOWCRABSCMA12-17-1979-2011-CHING,SNOWCRABSCMA12-17,NA,DFO,DFO-QUE,Canada,Canada East Coast,Northern Gulf of St. Lawrence,SCMA12-17,Snow crab Northern Gulf of St. Lawrence,Chionoecetes opilio,Snow crab,NA,Scott Coffen-Smout (DFO),canada/east_coast_dfo/Snow_crab_poly.shp,ZONE,"12, 13, 14, 15, 16, 17",NA,NA
DFO-QUE-SSCLAMQCW-1930-2010-CHING,SSCLAMQCW,NA,DFO,DFO-QUE,Canada,Canada East Coast,Quebec Coastal Waters,QCW,Softshell clam  Quebec Coastal Waters,Mya arenaria,Softshell clam,NA,Digitized from stock assessment,canada/west_coast/dfo_east_softshell_clam_areas_erase.shp,NA,already dissolved,NA,NA
DFO-QUE-WHAKE4RS-1960-2014-OSGOOD,WHAKE4RS,NA,DFO,DFO-QUE,Canada,Canada East Coast,Northern Gulf of St. Lawrence,4RS,White hake Northern Gulf of St. Lawrence,Urophycis tenuis,White hake,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"4R, 4S",NA,NA
DFO-QUE-WWHELKQCW-1987-2011-CHING,WWHELKQCW,NA,DFO,DFO-QUE,Canada,Canada East Coast,Quebec Coastal Waters,QCW,Waved whelk Quebec Coastal Waters,Buccinum undatum,Waved whelk,NA,Digitized from stock assessment,canada/west_coast/dfo_east_whelk_areas_erase.shp,NA,already dissolved,NA,NA
DFO-REDDEEP2J3K-3LNO-1960-2010-WATSON,REDDEEP2J3K-3LNO,NA,DFO,DFO,Canada,Canada East Coast,NAFO Divisions 2J3K-3LNO,2J3K-3LNO,Deepwater redfish NAFO-2J3K-3LNO,Sebastes mentella,Deepwater redfish,Redfish,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"2J, 3K, 3L, 3N, 3O",NA,NA
DFO-REDDEEPUT12-1960-2010-WATSON,REDDEEPUT12,NA,DFO,DFO,Canada,Canada East Coast,Units 1 and 2,UT12,Deepwater redfish Units 1-2,Sebastes mentella,Deepwater redfish,Redfish,Scott Coffen-Smout (DFO),canada/east_coast_dfo/dfo_east_redfish_units.shp,UNIT,Unit 1+2,NA,NA
DFO-SG-LOBSTERLFA23-26AB-1892-2011-CHING,LOBSTERLFA23-26AB,NA,DFO,DFO-SG,Canada,Canada East Coast,Southern Gulf of St. Lawrence,LFA23-26AB,American lobster Southern Gulf of St. Lawrence,Homarus americanus,American lobster,NA,Scott Coffen-Smout (DFO),canada/east_coast_dfo/dfo_east_lobster_fishing_areas.shp,ZONE,"23, 24, 25, 26A, 26B",NA,NA
DFO-SG-ROCKCRABLFA23-26-1985-2010-OSGOOD,ROCKCRABLFA23-26,NA,DFO,DFO-SG,Canada,Canada East Coast,Southern Gulf of St. Lawrence,4T,Rock crab Southern Gulf of St. Lawrence,Cancer irroratus,Rock crab,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,4T,NA,NA
DFO-SG-TSKA4T-1971-2010-OSGOOD,TSKA4T,NA,DFO,DFO-SG,Canada,Canada East Coast,Southern Gulf of St. Lawrence,4T,Thorny skate Southern Gulf of St. Lawrence,Amblyraja radiata,Thorny skate,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,4T,NA,NA
DFO-SG-WHAKE4T-1960-2013-OSGOOD,WHAKE4T,NA,DFO,DFO-SG,Canada,Canada East Coast,Southern Gulf of St. Lawrence,4T,White hake Southern Gulf of St. Lawrence,Urophycis tenuis,White hake,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,4T,NA,NA
DFO-SG-WINFLOUN4T-1960-2012-OSGOOD,WINFLOUN4T,NA,DFO,DFO-SG,Canada,Canada East Coast,Southern Gulf of St. Lawrence,4T,Winter flounder Southern Gulf of St. Lawrence,Pseudopleuronectes americanus,Winter flounder,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,4T,NA,NA
DFO-SG-WITFLOUN4RST-1960-2011-OSGOOD,WITFLOUN4RST,NA,DFO,DFO-SG,Canada,Canada East Coast,Gulf of St. Lawrence,4RST,Witch flounder Gulf of St. Lawrence,Glyptocephalus cynoglossus,Witch flounder,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"4R, 4S, 4T",NA,NA
DFO-SNOWCRAB2HJ-1995-2013-WATSON,SNOWCRAB2HJ,NA,DFO,DFO,Canada,Canada East Coast,Division 2HJ,2HJ,Snow Crab Division 2HJ,Chionoecetes opilio,Snow crab,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"2H, 2J",NA,NA
DFO-SNOWCRAB3K-1995-2013-WATSON,SNOWCRAB3K,NA,DFO,DFO,Canada,Canada East Coast,Division 3K,3K,Snow Crab Division 3K,Chionoecetes opilio,Snow crab,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,3K,NA,NA
DFO-SNOWCRAB3LNO-1995-2013-WATSON,SNOWCRAB3LNO,NA,DFO,DFO,Canada,Canada East Coast,Division 3LNO,3LNO,Snow Crab Division 3LNO,Chionoecetes opilio,Snow crab,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"3L, 3N, 3O",NA,NA
DFO-SNOWCRAB3Ps-1995-2013-WATSON,SNOWCRAB3Ps,NA,DFO,DFO,Canada,Canada East Coast,St. Pierre Bank,3Ps,Snow Crab Division 3Ps,Chionoecetes opilio,Snow crab,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,3Ps,NA,NA
DFO-SNOWCRAB4R3Pn-1995-2013-WATSON,SNOWCRAB4R3Pn,NA,DFO,DFO,Canada,Canada East Coast,Division 4R3Pn,4R3Pn,Snow Crab Division 4R3Pn,Chionoecetes opilio,Snow crab,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"4R, 3Pn",NA,NA
DFO-SNOWCRABSGSL-1987-2014-WATSON,SNOWCRABSGSL,NA,DFO,DFO,Canada,Canada East Coast,Southern Gulf of St. Lawrence,4T,Snow crab Southern Gulf of St. Lawrence,Chionoecetes opilio,Snow crab,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,4T,NA,NA
DFO-SSHRIMPSMAGTSE-1992-2011-WATSON,SSHRIMPSMAGTSE,NA,DFO,DFO,Canada,Canada West Coast,Shrimp Management Area GTSE,SMA-GTSE,Sidestripe shrimp SMA GTSE,Pandalopsis dispar,Sidestripe shrimp,NA,Digitized Shrimp Management Area map,canada/west_coast/dfo_west_shrimp_areas_polygons.shp,CODE,GTSE,NA,NA
DFO-SSHRIMPSMAPRD-1987-2011-WATSON,SSHRIMPSMAPRD,NA,DFO,DFO,Canada,Canada West Coast,Shrimp Management Area PRD,SMA-PRD,Sidestripe shrimp SMA PRD,Pandalopsis dispar,Sidestripe shrimp,NA,Digitized Shrimp Management Area map,canada/west_coast/dfo_west_shrimp_areas_polygons.shp,CODE,PRD,NA,NA
DFO-SSSHRIMPSMA14-1987-2011-WATSON,SSSHRIMPSMA14,NA,DFO,DFO,Canada,Canada West Coast,Shrimp Management Area 14,SMA-14,Sidestripe shrimp SMA 14,Pandalopsis dispar,Sidestripe shrimp,NA,Digitized Shrimp Management Area map,canada/west_coast/dfo_west_shrimp_areas_polygons.shp,CODE,14,NA,NA
DFO-SSSHRIMPSMA16-1987-2011-WATSON,SSSHRIMPSMA16,NA,DFO,DFO,Canada,Canada West Coast,Shrimp Management Area 16,SMA-16,Sidestripe shrimp SMA 16,Pandalopsis dispar,Sidestripe shrimp,NA,Digitized Shrimp Management Area map,canada/west_coast/dfo_west_shrimp_areas_polygons.shp,CODE,16,NA,NA
DFO-SSSHRIMPSMA18-19-1987-2011-WATSON,SSSHRIMPSMA18-19,NA,DFO,DFO,Canada,Canada West Coast,Shrimp Management Areas 18 and 19,SMA-18-19,Sidestripe shrimp SMA 18-19,Pandalopsis dispar,Sidestripe shrimp,NA,Digitized Shrimp Management Area map,canada/west_coast/dfo_west_shrimp_areas_polygons.shp,CODE,"18, 19",NA,NA
DFO-SSSHRIMPSMAFR-1987-2011-WATSON,SSSHRIMPSMAFR,NA,DFO,DFO,Canada,Canada West Coast,Shrimp Management Area FR,SMA-FR,Sidestripe shrimp SMA FR,Pandalopsis dispar,Sidestripe shrimp,NA,Digitized Shrimp Management Area map,canada/west_coast/dfo_west_shrimp_areas_polygons.shp,CODE,FR,NA,NA
DFO-YEYEROCKPCOASTIN-1918-2009-WATSON,YEYEROCKPCOASTIN,NA,DFO,DFO,Canada,Canada West Coast,Pacific Coast of Canada (Inside),PCOASTIN,Yelloweye rockfish Pacific Coast of Canada (Inside),Sebastes ruberrimus,Yelloweye rockfish,NA,Sean MacConnachie (DFO),canada/pfma_macconachie/pfma_areas_inside_outside.shp,UNIT,Inside,NA,NA
DPIF-MULLQNSW-1945-2003-BANOBI,MULLQNSW,NA,DPIF,DPIF,Australia,Australia,Queensland and New South Wales,QNSW,Sea Mullet Queensland and New South Wales,Mugil cephalus,Sea mullet,NA,50 km buffer on Australia coast line based on image,australia/processed/mullet_50km_buffer.shp,NA,50 km buffer on Australia coast line based on image,NA,NA
EWG-BS-WHITBLACK-1994-2011-HIVELY,WHITBLACK,NA,STECF,EWG-BS,Europe,European Union,Black Sea,BLACK,Whiting Black Sea,Merlangius merlangus,Whiting,NA,FAO website,europe/gfcm/GSAs_simplified,SECT_COD,GSA29,NA,NA
FAJ-APOLLPJPN-1975-2014-KUROTA,APOLLPJPN,NA,FAFRFJ,FAJ,Japan,Russia Japan,Pacific Coast of Japan,PJPN,Alaskan Pollock Pacific Coast of Japan,Theragra chalcogramma,Walleye pollock,NA,Digitized from stock assessment,japan/data/walleye_pollock_pacific_coast_erase.shp,ZONE,already dissolved,Digitized stock boundary from stock assessment,NA
FAJ-BMACKECS-1992-2014-KUROTA,BMACKECS,NA,FAFRFJ,FAJ,Japan,Russia Japan,East China Sea,ECS,Blue mackerel East China Sea,Scomber australasicus,Blue mackerel,NA,Digitized from stock assessment,japan/data/blue_mackerel_east_china_sea_erase.shp,ZONE,already dissolved,Digitized stock boundary from stock assessment,NA
FAJ-BMACKPJPN-1982-2014-KUROTA,BMACKPJPN,NA,FAFRFJ,FAJ,Japan,Russia Japan,Pacific Coast of Japan,PJPN,Blue mackerel Pacific Coast of Japan,Scomber australasicus,Blue mackerel,NA,Digitized from stock assessment,japan/data/blue_mackerel_pacific_coast_erase.shp,ZONE,already dissolved,Digitized stock boundary from stock assessment,NA
FAJ-BRMSOJ-1980-2010-ONO,BRMSOJ,NA,FAFRFJ,FAJ,Japan,Russia Japan,Sea of Japan,SOJ,Yellow sea bream Sea of Japan,Dentex tumifrons,Yellow sea bream,NA,Sea of Japan region,japan/data/eez_lr_japan_regions.shp,REGION,Sea of Japan,Used Sea of Japan region,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
FAJ-CMACKTSST-1973-2014-KUROTA,CMACKTSST,NA,FAFRFJ,FAJ,Japan,Russia Japan,Tsushima Strait,TSST,Chub mackerel Tsushima Strait,Scomber japonicus,Chub mackerel,Pacific chub mackerel,Digitized from stock assessment,japan/data/chub_mackerel_tsushima_strait_erase.shp,ZONE,already dissolved,Digitized stock boundary from stock assessment,NA
FAJ-JANCHOPJPN-1978-2014-KUROTA,JANCHOPJPN,NA,FAFRFJ,FAJ,Japan,Russia Japan,Pacific Coast of Japan,PJPN,Japanese anchovy Pacific Coast of Japan,Engraulis japonicus,Japanese anchovy,NA,Digitized from stock assessment,japan/data/japanese_anchovy_pacific_coast_erase.shp,ZONE,already dissolved,Digitized stock boundary from stock assessment,NA
FAJ-JANCHOSETO-1955-2014-KUROTA,JANCHOSETO,NA,FAFRFJ,FAJ,Japan,Russia Japan,Inland Sea of Japan,SETO,Japanese anchovy Inland Sea of Japan,Engraulis japonicus,Japanese anchovy,NA,Digitized from stock assessment,japan/data/japanese_anchovy_inland_sea_erase.shp,ZONE,already dissolved,Digitized stock boundary from stock assessment,NA
FAJ-JANCHOTSST-1977-2014-KUROTA,JANCHOTSST,NA,FAFRFJ,FAJ,Japan,Russia Japan,Tsushima Strait,TSST,Japanese anchovy Tsushima Strait,Engraulis japonicus,Japanese anchovy,NA,Japanese EEZ - Tsushima Strait (wide version),japan/data/tsushima_strait_wide.shp,ZONE,already dissolved,A wider version of Tsushima Strait in Japan's EEZ,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
FAJ-JMACKTSST-1973-2010-ONO,JMACKTSST,NA,FAFRFJ,FAJ,Japan,Russia Japan,Tsushima Strait,TSST,Japanese jack mackerel Tsushima Strait,Trachurus japonicus,Japanese jack mackerel,NA,TS chub mackerel boundary (digitized from stock assessment),japan/data/chub_mackerel_tsushima_strait_erase.shp,ZONE,already dissolved,Used  Tsushima Strait Chub mackerel boundary (which was digitized from the assessment),NA
FAJ-OFLOUNECS-1986-2010-ONO,OFLOUNECS,NA,FAFRFJ,FAJ,Japan,Russia Japan,East China Sea,ECS,Olive flounder East China Sea,Paralichthys olivaceus,Olive flounder,NA,Japanese EEZ - East China Sea (wide version),japan/data/east_china_sea_wide.shp,ZONE,already dissolved,A wider version of East China Sea in Japan's EEZ,NA
FAJ-OFLOUNNSJ-1999-2010-ONO,OFLOUNNSJ,NA,FAFRFJ,FAJ,Japan,Russia Japan,Sea of Japan North,NSJ,Olive flounder Sea of Japan North,Paralichthys olivaceus,Olive flounder,NA,Sea of Japan region,japan/data/eez_lr_japan_regions.shp,REGION,Sea of Japan,Used entire Sea of Japan region,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
FAJ-OFLOUNSETO-1987-2010-ONO,OFLOUNSETO,NA,FAFRFJ,FAJ,Japan,Russia Japan,Inland Sea of Japan,SETO,flounder Inland Sea of Japan,Paralichthys olivaceus,Olive flounder,NA,Inland Sea of Japan region,japan/data/eez_lr_japan_regions.shp,REGION,Inland Sea of Japan,Used Inland Sea of Japan region,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
FAJ-PILCHTSST-1960-2010-ONO,PILCHTSST,NA,FAFRFJ,FAJ,Japan,Russia Japan,Tsushima Strait,TSST,Japanese pilchard Tsushima Strait,Sardinops melanostictus,Japanese pilchard,Japanese sardine,Japanese EEZ - Tsushima Strait (wide version),japan/data/tsushima_strait_wide.shp,ZONE,already dissolved,A wider version of Tsushima Strait in Japan's EEZ,NA
FAJ-RBRMECS-1969-2010-ONO,RBRMECS,NA,FAFRFJ,FAJ,Japan,Russia Japan,East China Sea,ECS,Red seabream East China Sea,Pagrus major,Red seabream,Sea bream,Japanese EEZ - East China Sea (wide version),japan/data/east_china_sea_wide.shp,ZONE,already dissolved,A wider version of East China Sea in Japan's EEZ,NA
FAJ-RBRMSETOE-1977-2010-ONO,RBRMSETOE,NA,FAFRFJ,FAJ,Japan,Russia Japan,Inland Sea of Japan (East),SETOE,Red seabream Inland Sea of Japan (East),Pagrus major,Red seabream,Sea bream,Inland Sea of Japan region (divided by me),japan/data/inland_sea_split.shp,ZONE,East,Inland Sea of Japan divided at natural physical/geographical break point (bottleneck),NA
FAJ-RBRMSETOW-1977-2010-ONO,RBRMSETOW,NA,FAFRFJ,FAJ,Japan,Russia Japan,Inland Sea of Japan (West),SETOW,Red seabream Inland Sea of Japan (West),Pagrus major,Red seabream,Sea bream,Inland Sea of Japan region (divided by me),japan/data/inland_sea_split.shp,ZONE,West,Inland Sea of Japan divided at natural physical/geographical break point (bottleneck),NA
FAJ-RHERRTSST-1975-2014-KUROTA,RHERRTSST,NA,FAFRFJ,FAJ,Japan,Russia Japan,Tsushima Strait,TSST,Round herring Tsushima Strait,Etrumeus teres,Round herring,NA,Digitized from stock assessment,japan/data/round_herring_tsushima_strait_erase.shp,ZONE,already dissolved,Digitized stock boundary from stock assessment,NA
FAJ-SAURNWPAC-1980-2010-ONO,SAURNWPAC,NA,FAFRFJ,FAJ,Japan,Russia Japan,Northwest Pacific,NWPAC,Pacific saury Northwest Pacific,Cololabis saira,Pacific saury,NA,Digitized from Ito et al. 2004,japan/pacific_saury_erase.shp,ZONE,already dissolved,Digitized pacific saury life history areas from Ito et al. 2004,NA
FAJ-SPANMACKSETO-1987-2010-ONO,SPANMACKSETO,NA,FAFRFJ,FAJ,Japan,Russia Japan,Inland Sea of Japan,SETO,Japanese Spanish mackerel Inland Sea of Japan,Scomberomorus niphonius,Japanese Spanish mackerel,NA,Inland Sea of Japan region,japan/data/eez_lr_japan_regions.shp,REGION,Inland Sea of Japan,Used Inland Sea of Japan region,NA
FAO-DRSS-BCROAKWASG1-1994-2007-CHING,BCROAKWASG1,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 1,SG1,Bobo croaker West Africa Subgroup 1,Pseudotolithus elongatus,Bobo croaker,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"LBR, SLE, GIN","WG-South: Liberia, Sierra Leone, Guinea",NA
FAO-DRSS-BGRUNTWASG2-1990-2006-CHING,BGRUNTWASG2,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 2,SG2,Bigeye Grunt West Africa Subgroup 2,Brachydeuterus auritus,Bigeye grunt,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"CIV, GHA, TGO, BEN","WG-South: Cote d'Ivoire, Ghana, Togo, Benin",NA
FAO-DRSS-BGRUNTWASG3-1995-2007-CHING,BGRUNTWASG3,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 3,SG3,Bigeye Grunt West Africa Subgroup 3,Brachydeuterus auritus,Bigeye grunt,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"COG, AGO","WG-South: Congo, Angola (Nigeria also stock)",NA
FAO-DRSS-BHAKEWASG3-1995-2007-CHING,BHAKEWASG3,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 3,SG3,Benguela Hake West Africa Subgroup 3,Merluccius polli,Benguela hake,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,AGO,WG-South: Angola,NA
FAO-DRSS-BRMSPPWASG1-1994-2007-CHING,BRMSPPWASG1,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 1,SG1,Seabream West Africa Subgroup 1,Dentex spp,Seabream,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"LBR, SLE, GIN","WG-South: Liberia, Sierra Leone, Guinea",NA
FAO-DRSS-BRMSPPWASG2-1990-2007-CHING,BRMSPPWASG2,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 2,SG2,Seabream West Africa Subgroup 2,Dentex spp,Seabream,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"CIV, GHA, TGO, BEN","WG-South: Cote d'Ivoire, Ghana, Togo, Benin",NA
FAO-DRSS-BRMSPPWASG3-1995-2007-CHING,BRMSPPWASG3,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 3,SG3,Seabream West Africa Subgroup 3,Dentex spp,Seabream,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"GAB, COG, COD, AGO","WG-South: Gabon, Congo, Democratic Republic of Congo, Angola",NA
FAO-DRSS-CATWASG1-1994-2008-CHING,CATWASG1,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 1,SG1,Catfish West Africa Subgroup 1,Arius spp,Catfish,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"LBR, SLE, GIN","WG-South: Liberia, Sierra Leone, Guinea",NA
FAO-DRSS-CATWASG3-1995-2007-CHING,CATWASG3,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 3,SG3,Catfish West Africa Subgroup 3,Arius spp,Catfish,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"CMR, GAB",WG-South: Cameroon and Gabon,NA
FAO-DRSS-CROAKSPPWASG1-1994-2007-CHING,CROAKSPPWASG1,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 1,SG1,Croaker West Africa Subgroup 1,Pseudotolithus spp,Croaker,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"LBR, SLE, GIN","WG-South: Liberia, Sierra Leone, Guinea",NA
FAO-DRSS-CROAKSPPWASG2-1990-2006-CHING,CROAKSPPWASG2,NA,FAO,FAO-DRSS,West Africa,West Africa,West Africa Subgroup 2,SG2,Croaker West Africa Subgroup 2,Pseudotolithus spp,Croaker,NA,CMF - EEZs of sub-group countries in assessment,west_africa/eez_west_africa_subgroups.shp,ISOCODE,"CIV, GHA, TGO, BEN","WG-South: Cote d'Ivoire, Ghana, Togo, Benin",NA
